Company,Exchange,Symbol,Industry,Date Added,"Index Weighting (Apr 30, 2020)"
3M,NYSE,MMM,Conglomerate,8/9/1976,4.35%
American Express,NYSE,AXP,Financial services,8/30/1982,2.68%
Apple Inc.,NASDAQ,AAPL,Information technology,3/19/2015,8.01%
Boeing,NYSE,BA,Aerospace마nd맋efense,3/12/1987,3.87%
Caterpillar Inc.,NYSE,CAT,Construction마ndMining,5/6/1991,3.34%
Chevron Corporation,NYSE,CVX,Petroleum industry,2/19/2008,2.63%
Cisco Systems,NASDAQ,CSCO,Information technology,6/8/2009,1.21%
Dow Inc.,NYSE,DOW,Chemical industry,4/2/2019,1.04%
ExxonMobil,NYSE,XOM,Petroleum industry,10/1/1928,1.32%
Goldman Sachs,NYSE,GS,Financial services,9/20/2013,5.29%
IBM,NYSE,IBM,Information technology,6/29/1979,3.58%
Intel,NASDAQ,INTC,Information technology,11/1/1999,1.72%
Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,3/17/1997,4.18%
JPMorgan Chase,NYSE,JPM,Financial services,5/6/1991,2.72%
McDonald's,NYSE,MCD,Food industry,10/30/1985,5.23%
Merck & Co.,NYSE,MRK,Pharmaceutical industry,6/29/1979,2.25%
Microsoft,NASDAQ,MSFT,Information technology,11/1/1999,4.94%
Nike,NYSE,NKE,Apparel,9/20/2013,2.45%
Pfizer,NYSE,PFE,Pharmaceutical industry,4/8/2004,1.06%
Procter & Gamble,NYSE,PG,Fast-moving consumer goods,5/26/1932,3.26%
Raytheon Technologies,NYSE,RTX,Aerospace마nd맋efense,3/14/1939,1.89%
The Coca-Cola Company,NYSE,KO,Food industry,3/12/1987,1.31%
The Home Depot,NYSE,HD,Retailing,11/1/1999,6.17%
The Travelers Companies,NYSE,TRV,Financial services,6/8/2009,2.95%
The Walt Disney Company,NYSE,DIS,Broadcasting마nd만ntertainment,5/6/1991,3.12%
UnitedHealth Group,NYSE,UNH,Managed health care,9/24/2012,8.01%
Verizon,NYSE,VZ,Telecommunication,4/8/2004,1.62%
Visa Inc.,NYSE,V,Financial services,9/20/2013,5.06%
Walgreens Boots Alliance,NASDAQ,WBA,Retailing,6/26/2018,1.26%
Walmart,NYSE,WMT,Retailing,3/17/1997,3.44%
